Choi_train                              	party                                                                                               	As in the formation of the new government , we recruit people according to their talents and do not discriminate on the basis of ethnicity , gender or                                                                                                                                                      	|affiliation .                                                                                                                                                                                                                                                                                               
Choi_train                              	Universal Music/Urban                                                                               	Schritt fur Schritt -LRB- Step by step -RRB- is the debut solo album by German pop singer Nadja Benaissa , released by                                                                                                                                                                                      	|on February 24 , 2006 -LRB- see 2006 in music -RRB- .                                                                                                                                                                                                                                                       
Choi_train                              	Bristol-Myers-Squibb                                                                                	From 1992-1996 , he was at                                                                                                                                                                                                                                                                                  	|Pharmaceutical Research Institute as Head of the Transgenic Unit .                                                                                                                                                                                                                                          
Choi_train                              	your company                                                                                        	The goal and the desire as a sales person , customer service rep , or business owner should be to make sure customers are loyal to                                                                                                                                                                          	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	Hollywood , CA                                                                                      	were filmed on March 6 , 2006 at all-ages performance space Il Corral in                                                                                                                                                                                                                                    	|.                                                                                                                                                                                                                                                                                                           
Choi_train                              	Submarine Products                                                                                  	There are these makes : This project was started in the 1970s by                                                                                                                                                                                                                                            	|Ltd. of Hexham in Northumberland , England and passed through various hands .                                                                                                                                                                                                                               
Choi_train                              	MTV                                                                                                 	The video reached # 1 on both                                                                                                                                                                                                                                                                               	|'s TRL and VH1 's VSpot Top 20 Countdown .                                                                                                                                                                                                                                                                  
Choi_train                              	Sinclair                                                                                            	The company was formed by the former CEO Paul Andrews after his involvement with the website Retro-Trader , which lead him to be commissioned to gather retro game licenses for a plug-into-TV video game console using games such as Ant Attack -LRB- originally on the                                    	|ZX Spectrum -RRB- .                                                                                                                                                                                                                                                                                         
Choi_train                              	Morgan Iron Works                                                                                   	Commonwealth was powered by a 1,200 horsepower , 19 rpm single cylinder vertical beam steam engine , with 76-inch bore , 12-foot stroke and Stevens cut-off set at 7 feet , built by the                                                                                                                    	|of New York .                                                                                                                                                                                                                                                                                               
Choi_train                              	Nintendo                                                                                            	Sonic Battle is a fighting game developed by Sonic Team and published by Sega and THQ for the                                                                                                                                                                                                               	|Game Boy Advance .                                                                                                                                                                                                                                                                                          
Choi_train                              	The company                                                                                         	                                                                                                                                                                                                                                                                                                            	|achieved success with the more modern and more upmarket Renault 16 , a pioneering hatchback launched in 1966 , followed by the smaller Renault 6 .                                                                                                                                                          
Choi_train                              	the company                                                                                         	The private equity firm Hicks , Muse bought G. Heileman in 1994 , and sold                                                                                                                                                                                                                                  	|to competitor Stroh Brewery Company two years later .                                                                                                                                                                                                                                                       
Choi_train                              	University College London                                                                           	After radar research for the Admiralty , 1943-6 , he was a research student at                                                                                                                                                                                                                              	|, 1946-9 and lecturer in Physics , Queen Mary and Westfield College , 1949-58 .                                                                                                                                                                                                                             
Choi_train                              	service companies                                                                                   	In response to heightened industry and regulatory standards ,                                                                                                                                                                                                                                               	|are continuing to introduce innovative technologies to improve the safety and environmental responsibility of solids control and cuttings handling .                                                                                                                                                        
Choi_train                              	Yale University                                                                                     	He went to the United States in 1947 , and received his Ph.D. from                                                                                                                                                                                                                                          	|in 1951 .                                                                                                                                                                                                                                                                                                   
Choi_train                              	the third largest bank holding company                                                              	As of March 2010 , Citigroup is                                                                                                                                                                                                                                                                             	|in the United States by total assets , after Bank of America and JP Morgan Chase .                                                                                                                                                                                                                          
Choi_train                              	Remington Arms Company                                                                              	In 1858 he retired from the French Army with the rank of colonel , and later served as a military instructor for the khedive of Egypt and as a manager at the                                                                                                                                               	|in the United States .                                                                                                                                                                                                                                                                                      
Choi_train                              	British Aerospace                                                                                   	He joined                                                                                                                                                                                                                                                                                                   	|in 1992 and continues to serve on the board of its successor , BAE Systems , as finance director .                                                                                                                                                                                                          
Choi_train                              	UCLA                                                                                                	After his playing career , Mickens became a baseball coach at                                                                                                                                                                                                                                               	|for many years .                                                                                                                                                                                                                                                                                            
Choi_train                              	Pinterest                                                                                           	At its core ,                                                                                                                                                                                                                                                                                               	|is a social bookmarking tool that allows users to become curators of visual content .                                                                                                                                                                                                                       
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------Choi_test                               	medium-and small-sized companies                                                                    	Currently , Taiwan authorities define                                                                                                                                                                                                                                                                       	|as having capital of under 60 million Taiwan dollars , but actually Taiwan 's current medium-and small-sized companies mostly have significant scale .                                                                                                                                                      
Choi_test                               	they                                                                                                	Working with Pricewaterhouse has taught them to attack problems more systematically and to be tougher negotiators with clients ,                                                                                                                                                                            	|said .                                                                                                                                                                                                                                                                                                      
Choi_test                               	the company                                                                                         	Growth In March 1999 ,                                                                                                                                                                                                                                                                                      	|moved its offices to Palo Alto , California , home to several other noted Silicon Valley technology startups .                                                                                                                                                                                              
Choi_test                               	it                                                                                                  	The job cuts would allow the company to make cost savings worth 550 million dollars ( 390 million euros ) a year ,                                                                                                                                                                                          	|said .                                                                                                                                                                                                                                                                                                      
Choi_test                               	it                                                                                                  	The airline said early Thursday                                                                                                                                                                                                                                                                             	|had canceled 15 inbound and 24 outbound flights , but a spokeswoman later said it had canceled 28 flights in all .                                                                                                                                                                                          
Choi_test                               	China , in recent years also introduced a production line of pre-separating kilns , constructed large scale	Additionally ,                                                                                                                                                                                                                                                                                              	|modernized cement corporations such as Jidong , Ningguo , Huaihai , Liuzhou , etc. , and has recently increased annual production capability of 22 million tons of cement .                                                                                                                                 
Choi_test                               	they                                                                                                	While discount promotions are essential for most brands , some companies concede                                                                                                                                                                                                                            	|went overboard in shifting money from advertising to coupons , refunds and other sales incentives .                                                                                                                                                                                                         
