OntoNotes_train                         	party                                                                                               	It was not spontaneous ; it was an organized , orderly , and large-scale mass earthquake relief effort under the leadership of                                                                                                                                                                              	|organizations and governments at all levels .                                                                                                                                                                                                                                                               
OntoNotes_train                         	The                                                                                                 	                                                                                                                                                                                                                                                                                                            	|odd mix of departments in the bill makes it one of the more eclectic of the annual appropriations measures , and the assorted provisions attached by lawmakers run from $ 1.5 million for a fish farm in Arkansas to a music festival in Moscow under the United States Information Agency .                
OntoNotes_train                         	home-building                                                                                       	But                                                                                                                                                                                                                                                                                                         	|stocks were a mixed bag .                                                                                                                                                                                                                                                                                   
OntoNotes_train                         	The                                                                                                 	                                                                                                                                                                                                                                                                                                            	|successful launch continues a remarkable recovery in the U.S. space-science program .                                                                                                                                                                                                                       
OntoNotes_train                         	CBS                                                                                                 	NBC 's comedy had aired Wednesdays at 9:30 p.m. and in five outings had drawn an average of only 13.2 % of homes , lagging behind the Jamie Lee Curtis comedy `` Anything But Love '' on ABC and                                                                                                            	|'s one-hour drama `` Jake and the Fatman . ''                                                                                                                                                                                                                                                               
OntoNotes_train                         	Look                                                                                                	                                                                                                                                                                                                                                                                                                            	|at the female demonstrators from Hezbollah .                                                                                                                                                                                                                                                                
OntoNotes_train                         	The                                                                                                 	                                                                                                                                                                                                                                                                                                            	|timing of the July war came at the beginning of the tourist season .                                                                                                                                                                                                                                        
OntoNotes_train                         	What                                                                                                	                                                                                                                                                                                                                                                                                                            	|gave them the decisive advantage was smallpox .                                                                                                                                                                                                                                                             
OntoNotes_train                         	big                                                                                                 	You quote Robert Crandall , chairman of American 's parent , AMR Corp. , as having said that discount deals for                                                                                                                                                                                             	|customers would be `` dumb '' because `` you will go to Detroit because you have to go to Detroit whether the fare is $ 175 , $ 275 or $ 375 . ''                                                                                                                                                           
OntoNotes_train                         	Davis Polk & Wardwell                                                                               	                                                                                                                                                                                                                                                                                                            	|also said its international clients are keeping mergers and acquisitions partners busy .                                                                                                                                                                                                                    
OntoNotes_train                         	International                                                                                       	Source :                                                                                                                                                                                                                                                                                                    	|Data Corp .                                                                                                                                                                                                                                                                                                 
OntoNotes_train                         	network                                                                                             	The television element of `` La Familia '' includes a series of two-minute informational features to air seven days a week on the Spanish-language Univision                                                                                                                                                	|, a unit of Univision Holdings Inc. , which is 80 % - owned by Hallmark Cards Inc .                                                                                                                                                                                                                         
OntoNotes_train                         	soldier                                                                                             	One Israeli                                                                                                                                                                                                                                                                                                 	|was slightly hurt .                                                                                                                                                                                                                                                                                         
OntoNotes_train                         	party                                                                                               	The IRA has pointed out , for example , that MJIB investigators often receive oral instructions from the NSB to collect information on a particular political                                                                                                                                               	|.                                                                                                                                                                                                                                                                                                           
OntoNotes_train                         	ABC                                                                                                 	John Miller ,                                                                                                                                                                                                                                                                                               	|News , Aden .                                                                                                                                                                                                                                                                                               
OntoNotes_train                         	The                                                                                                 	                                                                                                                                                                                                                                                                                                            	|agency is preparing a report , to be issued today , on the earthquake 's impact on the property-and casualty-insurance industry .                                                                                                                                                                           
OntoNotes_train                         	big                                                                                                 	She 's assembling a staff of about 35 investigative reporters who will produce weekly , in-depth segments , with an eye toward breaking                                                                                                                                                                     	|stories .                                                                                                                                                                                                                                                                                                   
OntoNotes_train                         	ABB Asea Brown Boveri                                                                               	                                                                                                                                                                                                                                                                                                            	|B.V. said it signed a contract for the largest-ever power plant order in the Netherlands .                                                                                                                                                                                                                  
OntoNotes_train                         	big                                                                                                 	She also explained how motherhood is a                                                                                                                                                                                                                                                                      	|part of her life and how it intertwines with her profession .                                                                                                                                                                                                                                               
OntoNotes_train                         	Sony                                                                                                	Indeed , concerned that                                                                                                                                                                                                                                                                                     	|sales personnel were threatening legal action or other retaliation -- such as withholding desirable Sony products -- against Justin 's customers , Mr. Baxley fired off a letter to Sony in April .                                                                                                         
