BBN_train                               	luxury                                                                                              	Last week , Ford encountered a setback in its effort to broaden its U.S. luxury offerings when it was forced to abandon a four-year-old effort to market its German-built Scorpio sedan in the U.S. as a                                                                                                    	|import under the Merkur brand name .                                                                                                                                                                                                                                                                        
BBN_train                               	apple                                                                                               	Some fruit visionaries say the Fuji could someday tumble the Red Delicious from the top of America 's                                                                                                                                                                                                       	|heap .                                                                                                                                                                                                                                                                                                      
BBN_train                               	sports                                                                                              	A $ 137.6 million Maryland Stadium Authority                                                                                                                                                                                                                                                                	|facilities lease revenue bond issue appeared to be off to a good start .                                                                                                                                                                                                                                    
BBN_train                               	Mercury Cougar                                                                                      	The No . 2 auto maker 's new Thunderbird and                                                                                                                                                                                                                                                                	|models have n't met sales expectations in the year since they were introduced , and Ford 's trucks are losing ground to their GM rivals .                                                                                                                                                                   
BBN_train                               	mayonnaise                                                                                          	Only for cigarettes ,                                                                                                                                                                                                                                                                                       	|and toothpaste did more than 60 % of users say they typically stick with the same brand .                                                                                                                                                                                                                   
BBN_train                               	Burgundy                                                                                            	None of France 's wine regions can steal a march on                                                                                                                                                                                                                                                         	|, however .                                                                                                                                                                                                                                                                                                 
BBN_train                               	coffee                                                                                              	But at just that moment , he is interrupted in his office by a servant in tuxedo who pours                                                                                                                                                                                                                  	|from silver into a cup of china and dabs the brim with linen .                                                                                                                                                                                                                                              
BBN_train                               	ranging                                                                                             	The son of a Seagram 's executive who was stationed in many countries around the world , Mr. McDonough was born in Tokyo and attended 19 schools in places                                                                                                                                                  	|from Hong Kong to Shaker Heights , Ohio , before entering Dartmouth College .                                                                                                                                                                                                                               
BBN_train                               	coffee                                                                                              	Coke and Pepsi are all the same to me , and I usually buy whichever brand of                                                                                                                                                                                                                                	|happens to be on sale . ''                                                                                                                                                                                                                                                                                  
BBN_train                               	dairy                                                                                               	But until then , and probably long afterward , the Communists ' apparat of obstruction -- from the head of the                                                                                                                                                                                              	|co-op to the village bank manager -- will stay planted in the Polish countryside .                                                                                                                                                                                                                          
BBN_train                               	corn                                                                                                	That sometimes signals that they are laying plans to export                                                                                                                                                                                                                                                 	|.                                                                                                                                                                                                                                                                                                           
BBN_train                               	sugared                                                                                             	Coke now leads Pepsi in market share in caffeine-free diet colas but trails Pepsi in sales of caffeine-free                                                                                                                                                                                                 	|colas , according to Beverage Digest .                                                                                                                                                                                                                                                                      
BBN_train                               	luxury brand                                                                                        	Merkur is n't the only European                                                                                                                                                                                                                                                                             	|having problems in the U.S. .                                                                                                                                                                                                                                                                               
BBN_train                               	Bud                                                                                                 	                                                                                                                                                                                                                                                                                                            	|Konheim , president of Nicole Miller Inc. , says his company is now shipping only to the flagship stores of the Federated and Allied chains .                                                                                                                                                               
BBN_train                               	milk                                                                                                	The young leave , especially girls who wo n't                                                                                                                                                                                                                                                               	|cows by hand .                                                                                                                                                                                                                                                                                              
BBN_train                               	Corvettes                                                                                           	`` Blondes , cocaine and                                                                                                                                                                                                                                                                                    	|, '' mutters Mr. McClelland .                                                                                                                                                                                                                                                                               
BBN_train                               	Conger                                                                                              	Telos responded by combining three of its five divisions to reduce expenses and `` bring more focus to potentially fewer bidding opportunities , '' says Lin                                                                                                                                                	|, Telos chairman and controlling shareholder .                                                                                                                                                                                                                                                              
